Combinations,Mean Squared Error,Mean Absolute Error
"['Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08517268612758999,0.181661784789929
"['Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08520110627683318,0.18158398216497532
"['H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0852531101149819,0.17855194303103147
"['Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08527256078866038,0.17958292652215926
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08527732065193833,0.1812604229237484
"['H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08528052201619012,0.178592007758176
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08531003344806,0.18139174341005573
"['Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08532536106273776,0.18113487772250714
"['Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08534033748657967,0.18119761029372836
"['Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0853644043885771,0.17975370386211986
"['H index', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08539871193353417,0.1788422591948778
"['H index', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08547961527964036,0.17953892767066137
"['H index', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08549193895520683,0.17922683081714771
"['H index', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08552960764516294,0.17938961234411244
"['H index', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08555700510964677,0.1783438464603366
"['H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08561723575207225,0.17790638695460012
"['H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0856535158115489,0.1784044622486601
"['H index', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08572927684614763,0.17795740150828263
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08574971949712165,0.17911195185462986
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08580066316607987,0.17923806608885492
"['H index', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08580182861764202,0.1774601002894552
"['Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08583271868820669,0.180013315647895
"['H index', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08583538881898732,0.1781212709025901
"['H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08590894647510519,0.17823516961657884
"['H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08593813380699175,0.17942914058321516
"['Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08602621674190179,0.1800439318667622
"['Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08605511657940172,0.1802181441203034
"['H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08605607520118966,0.17841126938466131
"['Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08623037101343202,0.1812699010792852
"['Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08624178913304863,0.18168083501628093
"['H index', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08627845922346646,0.1790187817772184
"['Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08633603906368147,0.18218285061144854
"['H index', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08634743059523146,0.17676569081889532
"['Total Docs. (2017)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08638709792385586,0.18158472169754442
"['Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08648855568478697,0.17966154859998
"['H index', 'Total Docs. (2017)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0865247415797748,0.17756836035520918
"['H index', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08656082998155024,0.17725178904253855
"['H index', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08656265749980065,0.17988534218920096
"['Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08656641344900763,0.1812629393679957
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08657605120489281,0.18241563386012408
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08661751303166017,0.18251705803598578
"['Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08663164568632047,0.18004501300316245
"['H index', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0866552758666404,0.1806993679990003
"['H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08665810781215,0.17883540186269398
"['H index', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08665825391084,0.1785700490203543
